test_id,trace_name,mode,load_total_values,replay_token_occurrences,total_units,total_read_ns,replay_read_ns,total_read_ns_per_unit,replay_read_ns_per_total_unit,replay_read_ns_per_token,event_timestamps_values,event_timestamps_read_ns_per_total_unit,event_timestamps_read_ns_per_family_value,sequence_timestamps_values,sequence_timestamps_read_ns_per_total_unit,sequence_timestamps_read_ns_per_family_value,sequence_durations_values,sequence_durations_read_ns_per_total_unit,sequence_durations_read_ns_per_family_value,sequence_exclusive_durations_values,sequence_exclusive_durations_read_ns_per_total_unit,sequence_exclusive_durations_read_ns_per_family_value,other_read_ns_per_total_unit
test_0,mpi_test_spinloop_trace,both,50421311,30294781,80716092,837856045411,836868439202,10380.285078853916,10368.049523532432,27624.17854091766,20216522,4.770248019440783,19.045599337017514,10068263,2.4831987282040364,19.90751503014969,10068263,2.1828008719748224,17.49926039874008,10068263,2.1649162474318007,17.35588144648188,0.6343914544326551
test_1,mpi_test_spinloop_trace,both,49722176,29875300,79597476,805559635426,804641121392,10120.416826106395,10108.877339175931,26933.323561336623,19936868,3.703684863072794,14.786874598357175,9928436,1.952662594477242,15.654732930745588,9928436,2.590141564287792,20.76547917516918,9928436,2.586740363475847,20.738211335602102,0.706257545151306
test_2,mpi_test_spinloop_trace,both,50007236,30046336,80053572,865400285073,864407401685,10810.264469810292,10797.861732953028,28769.145152507113,20050892,4.568912827525048,18.241472349459563,9985448,2.4769026421456872,19.85738686937231,9985448,2.357365515182758,18.899054904697316,9985448,2.34043040577877,18.763285733399243,0.6591254666312704
test_3,mpi_test_spinloop_trace,both,50242506,30187498,80430004,808847874972,807918250106,10056.544010267611,10044.98582526491,26763.339250771958,20145000,3.750724456012709,14.97497061305535,10032502,1.9502250055837371,15.634844129609942,10032502,2.611235143044379,20.93412520625463,10032502,2.598180338272767,20.829465571001133,0.6478200597876385
