test_id,trace_name,archive_count,pre_raw_sum,raw_sum,compressed_sum,effective_ratio,true_ratio
test_0,mpi_test_spinloop_trace,2,403370488,403370488,85625950,4.710843943921206,4.710843943921206
test_1,mpi_test_spinloop_trace,2,397777408,6948032,5994069,1.1591511542493087,66.3618333389222
test_2,mpi_test_spinloop_trace,2,400057888,56924640,40786064,1.3956884881071143,9.808690733187689
test_3,mpi_test_spinloop_trace,2,401940048,5339032,5692582,0.9378928577576924,70.60768698632712
