test_id,trace_name,archive_count,total_values,total_write_ns,total_write_ns_per_value,event_timestamps_values,event_timestamps_write_ns_per_total_value,event_timestamps_write_ns_per_family_value,sequence_timestamps_values,sequence_timestamps_write_ns_per_total_value,sequence_timestamps_write_ns_per_family_value,sequence_durations_values,sequence_durations_write_ns_per_total_value,sequence_durations_write_ns_per_family_value,sequence_exclusive_durations_values,sequence_exclusive_durations_write_ns_per_total_value,sequence_exclusive_durations_write_ns_per_family_value
test_0,mpi_test_spinloop_trace,2,50421311,3805946533,75.48289517898493,20216522,33.05275529230091,82.43570550859341,10068263,16.22645434586181,81.26119679233648,10068263,12.99669457226132,65.08673631191398,10068263,13.206990968560893,66.13988917452792
test_1,mpi_test_spinloop_trace,2,49722176,800627816,16.102026910487584,19936868,4.284279473207286,10.684912896047663,9928436,1.8248868271573633,9.139137725216742,9928436,4.852555105392009,24.301873829876126,9928436,5.140305504730927,25.74294430663601
test_2,mpi_test_spinloop_trace,2,50007236,1799187998,35.97855314378903,20050892,14.93507181640673,37.24830102321632,9985448,6.784504506507818,33.97687494842495,9985448,6.951224698761595,34.81181154816489,9985448,7.307752122112888,36.5973048980877
test_3,mpi_test_spinloop_trace,2,50242506,665784083,13.251410727800879,20145000,2.608050342871034,6.504590965500124,10032502,1.4251944359622508,7.13733622978595,10032502,4.614407032165155,23.108828984036087,10032502,4.603758916802438,23.05550350251612
