test_id,trace_name,mode,load_total_values,replay_token_occurrences,total_units,total_read_ns,replay_read_ns,total_read_ns_per_unit,replay_read_ns_per_total_unit,replay_read_ns_per_token,event_timestamps_values,event_timestamps_read_ns_per_total_unit,event_timestamps_read_ns_per_family_value,sequence_timestamps_values,sequence_timestamps_read_ns_per_total_unit,sequence_timestamps_read_ns_per_family_value,sequence_durations_values,sequence_durations_read_ns_per_total_unit,sequence_durations_read_ns_per_family_value,sequence_exclusive_durations_values,sequence_exclusive_durations_read_ns_per_total_unit,sequence_exclusive_durations_read_ns_per_family_value,other_read_ns_per_total_unit
test_0,mpi_test_spinloop_trace,both,5818101,3495055,9313156,12733020739,12610512044,1367.2079302655297,1354.0535607907782,3608.1011726567967,2332038,5.508824613267511,21.999874358822627,1162021,2.4694645939571935,19.791818736494434,1162021,2.1238673549546467,17.021988415011432,1162021,2.1156948299802987,16.956488738155336,0.9365180825919807
test_1,mpi_test_spinloop_trace,both,5853691,3516409,9370100,12764528753,12651899015,1362.2617424573912,1350.2416212206913,3597.9600254122884,2346274,4.025059497764165,16.07451218399897,1169139,1.9920470432546078,15.965321488719477,1169139,2.5697875156081578,20.595640039379408,1169139,2.5573018430966585,20.495573238083754,0.8759253369761262
test_2,mpi_test_spinloop_trace,both,5825361,3499411,9324772,13362661747,13244797328,1433.0282549535796,1420.3883299237773,3784.864746667368,2334942,4.789962156715467,19.129085433385498,1163473,2.3740245874108235,19.02686009903109,1163473,2.2616993745262617,18.126618322900487,1163473,2.2652845560191714,18.15535212248157,0.9489543551306134
test_3,mpi_test_spinloop_trace,both,5838961,3507571,9346532,13195425214,13079632658,1411.7990730679571,1399.410247351638,3728.9716039960417,2340382,4.197416539097068,16.762771205726246,1166193,1.9904932653095286,15.952941751493963,1166193,2.712447568788081,21.73909292887198,1166193,2.593164074118614,20.783087362040416,0.895304269005873
