test_id,trace_name,mode,load_total_values,replay_token_occurrences,total_units,total_read_ns,replay_read_ns,total_read_ns_per_unit,replay_read_ns_per_total_unit,replay_read_ns_per_token,event_timestamps_values,event_timestamps_read_ns_per_total_unit,event_timestamps_read_ns_per_family_value,sequence_timestamps_values,sequence_timestamps_read_ns_per_total_unit,sequence_timestamps_read_ns_per_family_value,sequence_durations_values,sequence_durations_read_ns_per_total_unit,sequence_durations_read_ns_per_family_value,sequence_exclusive_durations_values,sequence_exclusive_durations_read_ns_per_total_unit,sequence_exclusive_durations_read_ns_per_family_value,other_read_ns_per_total_unit
test_0,chameleon_stesting_trace,load-only,563998482,0,563998482,12540071460,0,22.234229098510234,0.0,0.0,226013076,8.20058840690284,20.46394613469178,112661802,4.357762058657456,21.815479092017362,112661802,3.8514085238264877,19.280612616155384,112661802,3.8323375079580444,19.185140825281668,1.9921326011654052
test_1,chameleon_stesting_trace,load-only,558571372,0,558571372,11537531123,0,20.655428654872058,0.0,0.0,223842232,6.484726807660311,16.181855933244982,111576380,3.4505329195424643,17.273986725505882,111576380,4.3676312612741635,21.865145526320177,111576380,4.365371007592563,21.853830290963014,1.9871666588025567
test_2,chameleon_stesting_trace,load-only,554203517,0,554203517,12913351673,0,23.300739307650407,0.0,0.0,222095090,8.545438947476041,21.323804677536994,110702809,4.491600846336744,22.485978526525013,110702809,4.145879119348859,20.755216690120303,110702809,4.110397559963518,20.577587909264345,2.0074228345252454
test_3,chameleon_stesting_trace,load-only,576519992,0,576519992,11857543538,0,20.56744553968564,0.0,0.0,231021680,6.451845321263378,16.100730515854615,115166104,3.463564127365075,17.338556169270085,115166104,4.362355735965528,21.837895063290496,115166104,4.357974664996526,21.815963480018393,1.931705690095132
