test_id,trace_name,archive_count,pre_raw_sum,raw_sum,compressed_sum,effective_ratio,true_ratio
test_0,chameleon_stesting_trace,16,4511987856,4511987856,1054877684,4.277261643161275,4.277261643161275
test_1,chameleon_stesting_trace,16,4468570976,74899864,92419782,0.8104310828173129,48.3508062808458
test_2,chameleon_stesting_trace,16,4433628136,852423520,736478532,1.1574315923169367,6.0200371678994165
test_3,chameleon_stesting_trace,16,4612159936,68591072,93429655,0.734146690362926,49.36505369735123
