test_id,trace_name,archive_count,total_values,total_write_ns,total_write_ns_per_value,event_timestamps_values,event_timestamps_write_ns_per_total_value,event_timestamps_write_ns_per_family_value,sequence_timestamps_values,sequence_timestamps_write_ns_per_total_value,sequence_timestamps_write_ns_per_family_value,sequence_durations_values,sequence_durations_write_ns_per_total_value,sequence_durations_write_ns_per_family_value,sequence_exclusive_durations_values,sequence_exclusive_durations_write_ns_per_total_value,sequence_exclusive_durations_write_ns_per_family_value
test_0,chameleon_stesting_trace,16,563998482,49050639407,86.96945288409482,226013076,36.50805841353311,91.10308965486581,112661802,17.981984142999874,90.01996754853965,112661802,15.9541485804921,79.86837971045412,112661802,16.525261747069738,82.72744066351788
test_1,chameleon_stesting_trace,16,558571372,13088876298,23.432773239227163,223842232,6.1212170196935904,15.27476097093242,111576380,2.9341820511345507,14.689041659175535,111576380,6.995233823046699,35.01939526985909,111576380,7.3821403453523216,36.95631872086189
test_2,chameleon_stesting_trace,16,554203517,27356827415,49.36242116088917,222095090,20.823443718781018,51.96164284856545,110702809,8.890698849534727,44.50886671719414,110702809,9.434306011450303,47.230288185370256,110702809,10.213972581123118,51.133476902108235
test_3,chameleon_stesting_trace,16,576519992,13379050078,23.206567445452958,231021680,5.826874433870456,14.541101086270345,115166104,2.9839955870949226,14.937842405435545,115166104,7.029516815090776,35.1896681162367,115166104,7.366180609396803,36.87500261361624
